sku,name,slug,description,shortDescription,regularPrice,stockQuantity,stockStatus,categoryPath,brand,attributes,mainImageUrl,galleryImageUrls,seoTitle,seoDescription,sourceUrl,currencyCode,keywords,status
HTCSER001,D28 M11 KT B2 Seramik,d28-m11-kt-b2-seramik-htcser001,"Precitec, Bodor, Raytools Uyumlu Yüksek Kaliteli Seramik; Dış Çap: 28mm / 24.5mm İç Çap: M11 Pim Kaplama: Gold-Plated Max Güç: 15000W (15kw) Kullanılan Makina Markaları: Durma, Ermaksan, Dener, Mvd, Accurl ve Tüm Precitec'ler.",D28 M11 KT B2 Seramik,499.00,150,instock,Seramikler,PRECITEC,Marka:PRECITEC|Model:HTCSER001|Para Birimi:TL|Dış Çap:28mm / 24.5mm|İç Çap:M11 Pim|Kaplama:Gold-Plated|Max Güç:15000W (15kw),https://www.htclazer.com/image/cache/data/miltas-p0571-1051-00001-kt-b2-d28-seramik-tutucu-2-133627400970966507-800x800.jpg,,D28 M11 KT B2 Seramik | HTC Lazer,D28 M11 KT B2 Seramik,https://www.htclazer.com/korumacami-htclazer-seramik-durma-ermaksan-nukon-precitec-lazer-lazerkesim-procutter-durmazlar-lazersarfmalzeme-fiber-cam-lazeryedekparca-lazercam-fiberlazer-5,TRY,d28|m11|seramik|htcser001|precıtec|seramikler,publish
HTCCAM22354,D22.35 d4 Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi),d22-35-d4-lens-koruma-cami-japon-ham-madde-99-isin-iletimi-htccam22354,"Precitec HpSsl-Plus Lens Koruma Camı Japan Silica Glass Dış Çap: 22,35mm Kalınlık: 4mm Kaplama: AR K9 @ 1064nm T- 1080nm T Yansıma Yüzeyi: 15J/cm2 Yüzey Kalitesi: 20/10 Max Güç: 8000W (8kw) D22.35 D4 P0589-360-00002 Lens Koruyucu Cam Kullanılan Makina Markaları: Durma, Ermaksan, Dener, Mvd, Accurl ve Tüm HpSsl-Plus'larda. 'HTC LAZER MAKİNE SERVİS VE YEDEK PARÇA SATIŞI TİC. LTD. ŞTİ.' Doğrudan İthalatçı Firmadır.",D22.35 d4 Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi),249.00,369,instock,Koruma Camları,PRECITEC,"Marka:PRECITEC|Model:HTCCAM22354|Para Birimi:TL|Dış Çap:22,35mm|Kalınlık:4mm|Kaplama:AR K9 @ 1064nm T- 1080nm T|Yansıma Yüzeyi:15J/cm2|Yüzey Kalitesi:20/10|Max Güç:8000W (8kw) D22.35 D4 P0589-360-00002 Lens Koruyucu Cam",https://www.htclazer.com/image/cache/data/images-2--800x800.jpeg,,D22.35 d4 Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi) | HTC Lazer,D22.35 d4 Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi),https://www.htclazer.com/precitec-og-y-d22-35-d4-p0589-360-00002-lens-koruyucu-cam,TRY,d22.35|lens|koruma|camı|(japon|ham|madde-%99|ışın|iletimi)|htccam22354|precıtec|camları,publish
HTCCAM377M,D37 d7 20kw Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi),d37-d7-20kw-lens-koruma-cami-japon-ham-madde-99-isin-iletimi-htccam377m,"Precitec ProCutter, Raytools, Bodor Lens Koruma Camı Japan Silica Glass Dış Çap: 37mm Kalınlık: 7mm Kaplama: AR K9 @ 1064nm T- 1080nm T Yansıma Yüzeyi: 15J/cm2 Yüzey Kalitesi: 20/10 Max Güç: 20000W (20kw) Kullanılan Makina Markaları:Ermaksan, Dener, Mvd, Accurl ve Tüm ProCutter'lar. 'HTC LAZER MAKİNE SERVİS VE YEDEK PARÇA SATIŞI TİC. LTD. ŞTİ.' Doğrudan İthalatçı Firmadır.",D37 d7 20kw Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi),399.00,950,instock,Koruma Camları,PRECITEC,Marka:PRECITEC|Model:HTCCAM377M|Para Birimi:TL|Dış Çap:37mm|Kalınlık:7mm|Kaplama:AR K9 @ 1064nm T- 1080nm T|Yansıma Yüzeyi:15J/cm2|Yüzey Kalitesi:20/10|Max Güç:20000W (20kw),https://www.htclazer.com/image/cache/data/71pu3wo63ol-800x800.jpg,,D37 d7 20kw Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi) | HTC Lazer,D37 d7 20kw Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi),https://www.htclazer.com/korumacami-htclazer-seramik-durma-ermaksan-nukon-precitec-lazer-lazerkesim-procutter-durmazlar-lazersarfmalzeme-fiber-cam-lazeryedekparca-lazercam-fiberlazer-4,TRY,d37|20kw|lens|koruma|camı|(japon|ham|madde-%99|ışın|iletimi)|htccam377m|precıtec|camları,publish
HTCCAM3015,D30 d1.5 Kolimatör / Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi),d30-d1-5-kolimator-lens-koruma-cami-japon-ham-madde-99-isin-iletimi-htccam3015,"Precitec HpSsl Plus Kolimatör Lens Koruma Camı Japan Silica Glass Dış Çap: 30mm Kalınlık: 1.5mm Kaplama: AR K9 @ 1064nm T- 1080nm T Yansıma Yüzeyi: 15J/cm2 Yüzey Kalitesi: 20/10 Max Güç: 8000W (8kw) Kullanılan Makina Markaları: Durma, Ermaksan, Dener, Mvd, Accurl ve Tüm HpSsl Plus'larda. Precitec OG D30 d1.5 P0253-1034-00001 Kolimatör Koruyucu Cam 'HTC LAZER MAKİNE SERVİS VE YEDEK PARÇA SATIŞI TİC. LTD. ŞTİ.' Doğrudan İthalatçı Firmadır.",D30 d1.5 Kolimatör / Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi),299.00,172,instock,Koruma Camları,PRECITEC,Marka:PRECITEC|Model:HTCCAM3015|Para Birimi:TL|Dış Çap:30mm|Kalınlık:1.5mm|Kaplama:AR K9 @ 1064nm T- 1080nm T|Yansıma Yüzeyi:15J/cm2|Yüzey Kalitesi:20/10|Max Güç:8000W (8kw),https://www.htclazer.com/image/cache/data/71pu3wo63ol-800x800.jpg,,D30 d1.5 Kolimatör / Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi) | HTC Lazer,D30 d1.5 Kolimatör / Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi),https://www.htclazer.com/korumacami-htclazer-seramik-durma-ermaksan-nukon-precitec-lazer-lazerkesim-procutter-durmazlar-lazersarfmalzeme-fiber-cam-lazeryedekparca-lazercam-fiberlazer-3,TRY,d30|d1.5|kolimatör|lens|koruma|camı|(japon|ham|madde-%99|ışın|iletimi)|htccam3015|precıtec|camları,publish
HTCCAM365,"D36 d5 Nukon, Highyag Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi)",d36-d5-nukon-highyag-lens-koruma-cami-japon-ham-madde-99-isin-iletimi-htccam365,"Nukon / HighYag / Bystronic Lens Koruma Camı Japan Silica Glass Dış Çap: 36mm Kalınlık: 5mm Kaplama: AR K9 @ 1064nm T- 1080nm T Yansıma Yüzeyi: 15J/cm2 Yüzey Kalitesi: 20/10 Max Güç: 12000W (12kw) Kullanılan Makina Markaları: Nukon, Bystronic ve Tüm HighYag'larda. 'HTC LAZER MAKİNE SERVİS VE YEDEK PARÇA SATIŞI TİC. LTD. ŞTİ.' Doğrudan İthalatçı Firmadır.","D36 d5 Nukon, Highyag Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi)",329.00,200,instock,Koruma Camları,Nukon/HighYag,Marka:Nukon/HighYag|Model:HTCCAM365|Para Birimi:TL|Dış Çap:36mm|Kalınlık:5mm|Kaplama:AR K9 @ 1064nm T- 1080nm T|Yansıma Yüzeyi:15J/cm2|Yüzey Kalitesi:20/10|Max Güç:12000W (12kw),https://www.htclazer.com/image/cache/data/images-2--800x800.jpeg,,"D36 d5 Nukon, Highyag Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi) | HTC Lazer","D36 d5 Nukon, Highyag Lens Koruma Camı (Japon Ham Madde-%99 Işın İletimi)",https://www.htclazer.com/korumacami-htclazer-seramik-durma-ermaksan-nukon-precitec-lazer-lazerkesim-procutter-durmazlar-lazersarfmalzeme-fiber-cam-lazeryedekparca-lazercam-fiberlazer-2,TRY,d36|nukon|highyag|lens|koruma|camı|(japon|ham|madde-%99|ışın|iletimi)|htccam365|camları,publish
HTCSER003,Nukon/Highyag Seramik-A (Düz),nukon-highyag-seramik-a-duz-htcser003,"Nukon, Highyag, Bystronic Uyumlu Seramik Dış Çap: 24mm İç Çap: M11 Pim Kaplama: Gold-Plated Max Güç: 8000W (8kw) Kullanılan Makina Markaları: Nukon, Bystronic ve Tüm Highyag'lar. Menşe Ülke: Almanya",Nukon/Highyag Seramik-A (Düz),899.00,10,instock,Seramikler,Nukon/HighYag,Marka:Nukon/HighYag|Model:HTCSER003|Para Birimi:TL|Dış Çap:24mm|İç Çap:M11 Pim|Kaplama:Gold-Plated|Max Güç:8000W (8kw)|Menşe:Almanya,https://www.htclazer.com/image/cache/data/nukon/Nukon1-800x800.jpg,,Nukon/Highyag Seramik-A (Düz) | HTC Lazer,Nukon/Highyag Seramik-A (Düz),https://www.htclazer.com/nukon-highyag-seramik-a,TRY,nukon|highyag|seramik-a|(düz)|htcser003|seramikler,publish
M11STNZD,D28 H15 M11 Double Nozzle (Avrupa Üretim),d28-h15-m11-double-nozzle-avrupa-uretim-m11stnzd,"Marka HTC Menşei Avrupa Yapı Dışı Konik Tip HP Hava Kanalı VAR (DOUBLE) Materyal Bakır (Krom kaplama) Seramik Tipi KT B2 - KT XB Dış Çap (mm) Ø 28 Yükseklik (mm) 15 Vida Çapı/Diş (mm) M 11 Oto. Nozul Değiştirme Hayır Uyumlu Olduğu Kafa ProCutter 1.0 ProCutter 2.0 (KT XB ile) LıghtCutter 1.0 - 2.0 HpSSL - HpSSL Plus MiniCutter 2D, BOCİ 'HTC LAZER MAKİNE SERVİS VE YEDEK PARÇA SATIŞI TİC. LTD. ŞTİ.' Doğrudan İthalatçı Firmadır.",D28 H15 M11 Double Nozzle (Avrupa Üretim),199.00,99,instock,Nozullar,PRECITEC,Marka:PRECITEC|Model:M11STNZD|Para Birimi:TL,https://www.htclazer.com/image/cache/data/nozzle/double/nozzle_double_duz-800x800.jpg,,D28 H15 M11 Double Nozzle (Avrupa Üretim) | HTC Lazer,D28 H15 M11 Double Nozzle (Avrupa Üretim),https://www.htclazer.com/precitec-double-1-0mm-p0591-002-00010-nozzle,TRY,d28|h15|m11|double|nozzle|(avrupa|üretim)|m11stnzd|precıtec|nozullar,publish
HTCSER002,M14 D32 Raytools L3538 Seramik,m14-d32-raytools-l3538-seramik-htcser002,Bodor/Raytools/WSX/Hans/Oree/Gewek/Hsg/JQ/Mekotek Uyumlu Seramik; Dış Çap: 32mm / 28.5mm İç Çap: M14 Pim Kaplama: Gold-Plated Max Güç: 1500W (15kw) Kullanılan Makina Markaları: Raytools/WSX/Hans/Bodor,M14 D32 Raytools L3538 Seramik,499.00,214,instock,Seramikler,RAYTOOLS,Marka:RAYTOOLS|Model:HTCSER002|Para Birimi:TL|Dış Çap:32mm / 28.5mm|İç Çap:M14 Pim|Kaplama:Gold-Plated|Max Güç:1500W (15kw),https://www.htclazer.com/image/cache/data/20201228-230055-800x800.jpg,,M14 D32 Raytools L3538 Seramik | HTC Lazer,M14 D32 Raytools L3538 Seramik,https://www.htclazer.com/raytools-m14-l3538-seramik-orjinal,TRY,m14|d32|raytools|l3538|seramik|htcser002|seramikler,publish
HTCSER004,Nukon/Highyag Seramik-B (Konik),nukon-highyag-seramik-b-konik-htcser004,"Nukon, Highyag, Bystronic Uyumlu Seramik Dış Çap: 24mm İç Çap: M11 Pim Kaplama: Gold-Plated Max Güç: 8000W (8kw) Kullanılan Makina Markaları: Nukon, Bystronic ve Tüm Highyag'lar. Menşe Ülke: Almanya",Nukon/Highyag Seramik-B (Konik),899.00,13,instock,Seramikler,Nukon/HighYag,Marka:Nukon/HighYag|Model:HTCSER004|Para Birimi:TL|Dış Çap:24mm|İç Çap:M11 Pim|Kaplama:Gold-Plated|Max Güç:8000W (8kw)|Menşe:Almanya,https://www.htclazer.com/image/cache/data/nukb-800x800.jpg,,Nukon/Highyag Seramik-B (Konik) | HTC Lazer,Nukon/Highyag Seramik-B (Konik),https://www.htclazer.com/nukon-highyag-seramik-b,TRY,nukon|highyag|seramik-b|(konik)|htcser004|seramikler,publish
HTCLNS005,"PRECITEC OL HP SSL F125 M  LENS VE TUTUCU 5"" P0591-1208-00001",precitec-ol-hp-ssl-f125-m-lens-ve-tutucu-5-p0591-1208-00001-htclns005,"Precitec F125 5'' Lens, Kovan Dahil Fiyattır. Eski kovan İade edilmesi Gereklidir. 4KW Max Power","PRECITEC OL HP SSL F125 M  LENS VE TUTUCU 5"" P0591-1208-00001",750.00,0,outofstock,Lensler,PRECITEC,Marka:PRECITEC|Model:HTCLNS005|Para Birimi:EUR,https://www.htclazer.com/image/cache/data/h22b270bedf5943aca9527f37aea3ecc49-800x800.jpg,,"PRECITEC OL HP SSL F125 M  LENS VE TUTUCU 5"" P0591-1208-00001 | HTC Lazer","PRECITEC OL HP SSL F125 M  LENS VE TUTUCU 5"" P0591-1208-00001",https://www.htclazer.com/precitec-ol-hp-ssl-f125-m-lens-ve-tutucu-5-quot-p0591-1208-00001,EUR,precıtec|ssl|f125|lens|tutucu|p0591-1208-00001|htclns005|lensler,publish
